id,denominacion,codigo,provincia,municipio,caracterizacion
20441,Mausoleo romano,01040010001,Almería,Abla,"Arqueológica, Arquitectónica"
19614,Iglesia de la Anunciación,01040010002,Almería,Abla,Arquitectónica
19611,Las Juntas,01040010004,Almería,Abla,Arqueológica
12335,Cruz Roja. Abla,01040010005,Almería,Abla,Arqueológica
12336,Estación Abla-Abrucena,01040010006,Almería,Abla,Arqueológica
6909,Los Milanes,01040010007,,,Arqueológica
12293,Ladera Oeste. Al lado de Las Juntas,01040010008,Almería,Abla,Arqueológica
12294,Las Adelfas Bajas,01040010009,Almería,Abla,Arqueológica
12295,Cortijada de Santa Cruz,01040010010,Almería,Abla,Arqueológica
12296,Rambla de Santa Cruz,01040010011,Almería,Abla,Arqueológica
8094,Carretera de la Estación,01040010012,Almería,Abla,Arqueológica
8095,Sin denominación,01040010013,Almería,Abla,Arqueológica
6908,Calzada romana,01040010014,,,Arqueológica
12297,Cerro del Castillo,01040010015,Almería,Abla,Arqueológica
8060,Cerro del Polideportivo,01040010016,Almería,Abla,Arqueológica
8061,Montagón,01040010017,Almería,Abla,Arqueológica
19655,El Peñón de las Juntas,01040010018,,,Arqueológica
248765,Aljibe del Castillo de Abla,01040010019,Almería,Abla,Etnológica
1156,Cementerio Municipal de Abla,01040010020,Almería,Abla,Arquitectónica
1157,Molino de las Juntas,01040010022,Almería,Abla,"Arquitectónica, Etnológica"
13598,Puente sobre la rambla de Las Adelfas,01040010023,Almería,Abla,"Arquitectónica, Etnológica"
2037,Alba Bastetanorum,01040010024,Almería,Abla,Arqueológica
19675,Castillo El Peñón de las Juntas,01040010035,Almería,Abla,Arquitectónica
22093,Ermita de los Santos Ángeles,01040010046,Almería,Abla,Arquitectónica
10316,Iglesia Parroquial,01040020001,Almería,Abrucena,Arquitectónica
19612,Castillo El Castillejo,01040020002,Almería,Abrucena,"Arqueológica, Arquitectónica"
12298,Camino de la Venta del Serval,01040020003,,,Arqueológica
8096,Chortales-Riedras,01040020004,Almería,Abrucena,Arqueológica
8097,Los Jarales,01040020005,Almería,Abrucena,Arqueológica
12299,Barranco de los Olivillos,01040020006,Almería,Abrucena,Arqueológica
12300,Cortijo de Paredes,01040020007,,,Arqueológica
8098,Carretera de la Estación,01040020008,Almería,Abrucena,Arqueológica
8099,Carroquero I,01040020009,Almería,Abrucena,Arqueológica
12301,Carroquero II,01040020010,Almería,Abrucena,Arqueológica
8100,Sin denominación,01040020011,Almería,Abrucena,Arqueológica
8101,El Molino,01040020012,Almería,Abrucena,Arqueológica
8103,Cuesta de la Fondana,01040020013,Almería,Abrucena,Arqueológica
8102,Pago de Escuchagranos II,01040020014,Almería,"Abrucena, Fiñana",Arqueológica
12302,Pago de Escuchagranos III,01040020015,Almería,Abrucena,Arqueológica
12303,Pago de Escuchagranos IV,01040020016,Almería,"Abrucena, Fiñana",Arqueológica
12304,Cueva de Abrucena,01040020017,Almería,Abrucena,Arqueológica
188569,Vivienda 0019,01040020019,Almería,Abrucena,Etnológica
1151,Cementerio de San José,01040020020,Almería,Abrucena,Arquitectónica
171269,La Casería,01040020024,,,"Arquitectónica, Etnológica"
171401,Vista Alegre,01040020025,,,"Arquitectónica, Etnológica"
23633,Ermita de San José,01040020026,Almería,Abrucena,Arquitectónica
189173,Aljibe de Abrucena,01040020027,Almería,Abrucena,Etnológica
19336,Fundición San Andrés,01040030001,Almería,Adra,"Arquitectónica, Etnológica"
10318,Muralla urbana,01040030002,Almería,Adra,"Arqueológica, Arquitectónica"
12305,Torre de Guainos,01040030003,,,"Arqueológica, Arquitectónica"
17750,Iglesia de la Inmaculada Concepción,01040030004,Almería,Adra,Arquitectónica
10319,Molino en Calle San Sebastián,01040030006,Almería,Adra,Arquitectónica
8051,Megalito de Guainos Alto,01040030008,Almería,Adra,Arqueológica
12307,Cerro de Monte Cristo,01040030009,Almería,Adra,Arqueológica
10320,Ermita de San Isidro,01040030010,Almería,Adra,Arquitectónica
188674,Fuente la Parra,01040030011,Almería,Adra,Etnológica
188688,Balsa de la Encina y Fuente de los Macarenos,01040030012,Almería,Adra,Etnológica
188689,Balsas de la Catalana,01040030013,Almería,Adra,Etnológica
188687,El Molino del Lugar,01040030016,Almería,Adra,Etnológica
188673,Azucarera de Adra,01040030018,Almería,Adra,Etnológica
22996,Cortijo de Cuenca,01040030038,Almería,Adra,"Arquitectónica, Etnológica"
170918,Cortijo de los Caíllos,01040030039,,,"Arquitectónica, Etnológica"
22999,Cortijo de Perianos,01040030040,Almería,Adra,"Arquitectónica, Etnológica"
171134,Cortijo la Encantada,01040030041,,,"Arquitectónica, Etnológica"
184773,Cubo del Cementerio,01040030055,Almería,Adra,"Arqueológica, Arquitectónica"
184777,Muralla de la Casa del  Gobernador,01040030056,Almería,Adra,"Arqueológica, Arquitectónica"
184787,Torreón de Don Pablo Moya,01040030058,Almería,Adra,"Arqueológica, Arquitectónica"
184792,Torre de la Vela,01040030059,Almería,Adra,"Arqueológica, Arquitectónica"
188716,Ermita de San Sebastián,01040030062,Almería,Adra,Arquitectónica
188715,Iglesia de Nuestra Señora de las Angustias,01040030063,Almería,Adra,Arquitectónica
188714,Museo de Adra,01040030064,Almería,Adra,Arquitectónica
195725,Balsa y Nacimiento del Barranco Periano,01040030066,Almería,Adra,Etnológica
28167,Espacio Subacuático Adra,01040030068,Almería,Almería,Arqueológica
1153,Los Caños,01040040001,Almería,Albanchez,Arquitectónica
1154,Iglesia Parroquial,01040040002,Almería,Albanchez,Arquitectónica
8082,Castillo,01040040003,Almería,Albanchez,"Arqueológica, Arquitectónica"
12308,Cueva de Albanchez,01040040004,Almería,Albanchez,Arqueológica
1155,Acueducto de Los Arcos,01040040005,Almería,Albanchez,Etnológica
188541,Vivienda 0007,01040040007,Almería,Albanchez,Etnológica
188555,Vivienda 0008,01040040008,Almería,Albanchez,Etnológica
188540,Vivienda 0009,01040040009,Almería,Albanchez,Etnológica
188517,Vivienda 0010,01040040010,Almería,Albanchez,Etnológica
1150,Iglesia de San Juan Bautista,01040050001,Almería,Alboloduy,Arquitectónica
12309,Castillo El Hizán,01040050003,Almería,Alboloduy,"Arqueológica, Arquitectónica"
8063,Castillo El Peñón del Moro,01040050004,Almería,Alboloduy,"Arqueológica, Arquitectónica"
6910,Peñón de la Reina,01040050005,Almería,Alboloduy,Arqueológica
12310,El Bermejo,01040050006,Almería,Alboloduy,Arqueológica
8062,Belembín,01040050007,Almería,Alboloduy,Arqueológica
6911,Sitio Arqueológico de Alboloduy,01040050008,Almería,Alboloduy,Arqueológica
248767,La Era Alta,01040050018,Almería,Alboloduy,Etnológica
189174,Aljibe del Campillo Hondo,01040050028,Almería,Alboloduy,Etnológica
189175,Chimenea del Peñón del Moro,01040050029,Almería,Alboloduy,Etnológica
189176,Fábrica de Electricidad,01040050030,Almería,Alboloduy,Etnológica
195723,Jaraiz del Tío Julio,01040050031,Almería,Alboloduy,Etnológica
195721,Molino de Francisco León Ibáñez,01040050032,Almería,Alboloduy,Etnológica
195720,Acueducto de la Rambla de Gergal,01040050033,Almería,Alboloduy,Etnológica
195724,Acueducto del Barranco del Lobo,01040050034,Almería,Alboloduy,Etnológica
195719,Aljibe Alto,01040050035,Almería,Alboloduy,Etnológica
195716,Aljibe de Enmedio,01040050036,Almería,Alboloduy,Etnológica
10287,Aljibe,01040060001,Almería,Albox,Arquitectónica
2943,Torre La  Aljambra,01040060002,Almería,Albox,"Arqueológica, Arquitectónica"
17020,Monasterio de Nuestra Señora de los Desamparados del Saliente,01040060003,Almería,Albox,Arquitectónica
1129,Iglesia de Santa María,01040060004,Almería,Albox,Arquitectónica
1130,Iglesia de San Antonio,01040060005,Almería,Albox,Arquitectónica
2944,Torre Terdiguera,01040060007,Almería,Albox,"Arqueológica, Arquitectónica"
10288,Castillo El Castillico,01040060008,Almería,Albox,Arquitectónica
2945,Cerro de las Copas,01040060009,Almería,Albox,Arqueológica
12311,Cerro de la Torre,01040060010,Almería,Albox,Arqueológica
12312,Necrópolis Árabe del Saliente,01040060011,Almería,Albox,Arqueológica
2946,Terrera Alcaina,01040060012,Almería,Albox,Arqueológica
2947,Cerro del Castillo,01040060013,Almería,Albox,Arqueológica
2948,El Saliente,01040060014,Almería,Albox,Arqueológica
12270,Llano del Pedregal,01040060015,,,Arqueológica
2930,Sierra del Madroño,01040060016,Almería,Albox,Arqueológica
188573,Vivienda 0018,01040060018,Almería,Albox,Etnológica
188572,Vivienda 0019,01040060019,Almería,Albox,Etnológica
188583,Vivienda 0020,01040060020,Almería,Albox,Etnológica
188568,Vivienda 0021,01040060021,Almería,Albox,Etnológica
1121,Cementerio de San José,01040060022,Almería,Albox,Arquitectónica
2931,El Saliente II,01040060025,Almería,Albox,Arqueológica
2932,Terrera Alcaina II,01040060026,Almería,Albox,Arqueológica
10289,Ermita de Santa Rosa,01040070001,Almería,Alcolea,Arquitectónica
1122,Iglesia de San Sebastián,01040070002,Almería,Alcolea,Arquitectónica
8052,Castillo El Castillejo,01040070003,Almería,Alcolea,"Arqueológica, Arquitectónica"
12271,Cueva de la Sarna,01040070004,,,Arqueológica
171020,Cortijo del Barranco del Caballo,01040070008,,,"Arquitectónica, Etnológica"
188477,Vivienda 0001,01040080001,Almería,Alcóntar,Etnológica
188484,Vivienda 0002,01040080002,Almería,Alcóntar,Etnológica
188480,Vivienda 0003,01040080003,Almería,Alcóntar,Etnológica
188492,Vivienda 0004,01040080004,Almería,Alcóntar,Etnológica
263326,Torre del Ramil,01040080009,,,"Arqueológica, Arquitectónica"
10291,Torre de la antigua alquería Despoblado de Alhabia,01040090001,Almería,Alcudia de Monteagud,"Arqueológica, Arquitectónica"
248475,Iglesia Parroquial de Nuestra Señora del Rosario,01040090002,Almería,Alcudia de Monteagud,"Arquitectónica, Etnológica"
12272,Torre de los Casaros I,01040090003,Almería,Alcudia de Monteagud,Arqueológica
12273,Despoblado de Los Casaros II,01040090004,Almería,Alcudia de Monteagud,Arqueológica
12274,Molino del Río Chercos,01040090005,Almería,Alcudia de Monteagud,Arqueológica
12275,Despoblado de Alhabia,01040090006,Almería,Alcudia de Monteagud,Arqueológica
12276,La Torrecilla,01040090007,Almería,Alcudia de Monteagud,Arqueológica
19921,Hábitat de los Casaros I,01040090011,Almería,Alcudia de Monteagud,Arqueológica
10293,Iglesia de San Juan Bautista,01040100001,Almería,Alhabia,Arquitectónica
8065,Castillo Pago de los Nietos,01040100002,Almería,Alhabia,"Arqueológica, Arquitectónica"
188516,Vivienda 0006,01040100006,Almería,Alhabia,Etnológica
188523,Vivienda 0007,01040100007,Almería,Alhabia,Etnológica
170982,Cortijo de Santiago Martínez,01040100009,,,"Arquitectónica, Etnológica"
29032,Cortijo de las Palmeras,01040100010,Almería,Alhabia,"Arquitectónica, Etnológica"
12277,Castillo Los Castillejos,01040110001,Almería,Alhama de Almería,"Arqueológica, Arquitectónica"
12278,Loma de Galera,01040110002,Almería,Alhama de Almería,Arqueológica
2933,Necrópolis Megalítica de Alhama,01040110003,Almería,Alhama de Almería,Arqueológica
2934,El Mojón,01040110004,Almería,Alhama de Almería,Arqueológica
12279,Tajo del Moro,01040110005,Almería,"Alhama de Almería, Alhabia",Arqueológica
2935,Loma de Los Frailes,01040110006,Almería,Alhama de Almería,Arqueológica
2936,Alhama,01040110008,Almería,Alhama de Almería,Arqueológica
12280,Algibe de los Giles,01040110009,Almería,Alhama de Almería,Arqueológica
2937,Yeseras I,01040110010,Almería,Alhama de Almería,Arqueológica
2938,Yeseras II,01040110011,Almería,Alhama de Almería,Arqueológica
12281,Cerrillo de los Gitanos,01040110012,Almería,Alhama de Almería,Arqueológica
12282,Galachar,01040110013,Almería,Alhama de Almería,Arqueológica
10297,Ermita de la Asunción,01040110015,Almería,Alhama de Almería,Arquitectónica
10298,Ermita del Río,01040110016,Almería,Alhama de Almería,Arquitectónica
248750,Balneario de San Nicolás,01040110027,Almería,Alhama de Almería,Etnológica
2939,Fortín 12. Millares,01040110030,Almería,"Alhama de Almería, Santa Fe de Mondújar",Arqueológica
2940,Cañada de Verdegay,01040110031,Almería,Alhama de Almería,Arqueológica
12283,Alineación de la Quebrada del Mojón,01040110032,Almería,Alhama de Almería,Arqueológica
12284,Asentamiento de la Quebrada del Mojón,01040110033,Almería,Alhama de Almería,Arqueológica
6858,Plaza del Balneario,01040110034,Almería,Alhama de Almería,Arquitectónica
20748,Ayuntamiento,01040110035,Almería,Alhama de Almería,Arquitectónica
280584,La Puente de Alhama,01040110040,,,Arquitectónica
1119,Iglesia de San Sebastián,01040120001,Almería,Alicún,Arquitectónica
21073,Loma de Alicún,01040120002,Almería,"Alicún, Terque",Arqueológica
1110,Escuela de Artes Aplicadas y Oficios Artísticos,01040130001,Almería,Almería,Arquitectónica
1111,Ayuntamiento,01040130002,Almería,Almería,Arquitectónica
1112,Edificio de la Antigua Delegación de Trabajo,01040130003,Almería,Almería,Arquitectónica
21477,Instituto de Educación Secundaria Celia Viñas,01040130004,,,Arquitectónica
1113,Edificio de la Diputación Provincial,01040130005,Almería,Almería,Arquitectónica
1107,Palacio de los Marqueses de Cabra,01040130006,Almería,Almería,Arquitectónica
1108,Edificio de la Delegación de Educación y Ciencia,01040130007,Almería,Almería,Arquitectónica
1109,"Casa en Calle Eguilior, nº 3",01040130008,Almería,Almería,Arquitectónica
10311,"Edificio en Calle Obispo Orbera , nº 3",01040130009,Almería,Almería,Arquitectónica
17012,"Edificio en Plaza Flores, nº 1",01040130010,Almería,Almería,Arquitectónica
1104,Edificio de Viviendas Pedro Plaza,01040130011,,,Arquitectónica
10312,"Casa en calle Martínez Campos, nº 22 y 24",01040130012,Almería,Almería,Arquitectónica
2030,"Casa Rambla de Alfareros, nº 2",01040130013,Almería,Almería,Arquitectónica
2031,"Casa en Calle Minero, nº 1",01040130014,Almería,Almería,Arquitectónica
21189,Archivo Histórico Provincial de Almería,01040130016,Almería,Almería,Arquitectónica
2026,"Casa Plaza de San Fernando, nº 1",01040130018,Almería,Almería,Arquitectónica
10272,Casa de los Marqueses de Torre Alta,01040130019,Almería,Almería,Arquitectónica
2027,Edificio de viviendas de Carmen Algarra,01040130020,Almería,Almería,Arquitectónica
1826,Hospital de Santa María Magdalena,01040130022,Almería,Almería,Arquitectónica
2022,Edificio de la Cruz Roja,01040130023,Almería,Almería,Arquitectónica
2036,Cargadero de mineral El Alquife,01040130024,Almería,Almería,"Arquitectónica, Etnológica"
2023,Estación de Renfe,01040130025,Almería,Almería,"Arquitectónica, Etnológica"
10273,Portada del Ingenio,01040130026,Almería,Almería,Arquitectónica
2020,Edificio del Círculo Mercantil e Industrial y Teatro Cervantes,01040130027,Almería,Almería,Arquitectónica
2032,Edificio Banesto,01040130028,Almería,Almería,Arquitectónica
248476,Mercado Central,01040130029,Almería,Almería,"Arquitectónica, Etnológica"
2012,Museo de Almería,01040130030,Almería,Almería,Arquitectónica
10274,Casino Cultural,01040130031,Almería,Almería,Arquitectónica
10275,Teatro Cine Apolo,01040130032,Almería,Almería,Arquitectónica
2013,Plaza de Toros,01040130033,Almería,Almería,"Arquitectónica, Etnológica"
19613,Alcazaba y Murallas del Cerro de  San Cristóbal,01040130035,Almería,Almería,"Arqueológica, Arquitectónica"
10276,Casa Fuerte de la Cruceta,01040130036,Almería,Almería,Arquitectónica
8009,Murallas del Cerro de San Cristóbal,01040130037,Almería,Almería,"Arqueológica, Arquitectónica"
2015,Torre  Perdigal,01040130038,Almería,Almería,Arquitectónica
2016,Torre Cárdenas,01040130039,Almería,Almería,Arquitectónica
2017,Torre La Garrofa,01040130040,Almería,Almería,Arquitectónica
2018,Torre de San Miguel,01040130041,Almería,Almería,Arquitectónica
10277,Torre Torregarcía,01040130042,Almería,Almería,Arquitectónica
2019,Palacio Episcopal,01040130043,Almería,Almería,Arquitectónica
2011,Colegio de la  Compañía de María,01040130044,Almería,Almería,Arquitectónica
2033,Iglesia del Convento de Santa Clara,01040130045,Almería,Almería,Arquitectónica
20442,Convento de la Purísima Concepción,01040130046,Almería,Almería,Arquitectónica
20443,Iglesia Catedral de Nuestra Señora de la Encarnación,01040130047,Almería,Almería,Arquitectónica
2010,Mihrab de la Iglesia de San Juan,01040130048,Almería,Almería,Arquitectónica
2008,Iglesia de Santiago Apóstol,01040130049,Almería,Almería,Arquitectónica
2029,Basílica de la Virgen del Mar,01040130050,Almería,Almería,Arquitectónica
21480,Iglesia de San Pedro El Viejo,01040130051,Almería,Almería,Arquitectónica
20444,Iglesia de San Pedro,01040130052,Almería,Almería,Arquitectónica
2009,Iglesia de San Sebastián,01040130053,Almería,Almería,Arquitectónica
24127,Centro Histórico de Almería,01040130056,,,
10278,"Inmueble en calle San Leonardo, nº 3",01040130060,Almería,Almería,Arquitectónica
10279,Castillo de San Telmo,01040130061,Almería,Almería,Arquitectónica
12285,Restos de muralla urbana en calle Reina,01040130062,Almería,Almería,"Arqueológica, Arquitectónica"
20449,Estación de Autobuses,01040130063,Almería,Almería,Arquitectónica
21481,Ciudad Jardín Almería,01040130064,Almería,Almería,Arquitectónica
8039,Cortijo de Abajo,01040130065,Almería,Almería,Arqueológica
12286,Venta del Pino,01040130066,Almería,Almería,Arqueológica
12287,Balsas de Torregarcía,01040130067,Almería,Almería,Arqueológica
8040,Pozo de las Marinas,01040130068,Almería,Almería,Arqueológica
8010,El Paseo. Almería,01040130069,Almería,Almería,Arqueológica
8011,Plaza Vieja. Almería,01040130070,Almería,Almería,Arqueológica
8012,Calle de El Pueblo. Almería,01040130071,Almería,Almería,Arqueológica
12288,Calle Mariana. Almería,01040130072,Almería,Almería,Arqueológica
12289,Calle Pablo Iglesias I y II. Almería,01040130073,Almería,Almería,Arqueológica
8013,Restos de muralla urbana en  calle Inés Relaño,01040130074,Almería,Almería,"Arqueológica, Arquitectónica"
12290,Calle la Estrella. Almería,01040130075,Almería,Almería,Arqueológica
12291,Torre Serena,01040130076,Almería,Almería,Arqueológica
8104,Sitio Arqueológico de Almería,01040130077,Almería,Almería,Arqueológica
6798,Cortijo Nuevo,01040130078,Almería,Almería,Arqueológica
10280,"Inmueble en Avenida García Lorca, nº 2",01040130079,Almería,Almería,Arquitectónica
10281,Ermita de Torre García,01040130080,Almería,Almería,Arquitectónica
10282,Hogar Provincial de la Diputación,01040130081,Almería,Almería,Arquitectónica
2005,Residencia Sanitaria Virgen del Mar,01040130082,Almería,Almería,Arquitectónica
2006,Palacio de Justicia,01040130084,Almería,Almería,Arquitectónica
2007,Edificio de 12 viviendas,01040130085,Almería,Almería,Arquitectónica
2000,Casa Sindical,01040130088,Almería,Almería,Arquitectónica
2001,Grupo de viviendas Nuestra Señora del Rosario,01040130090,Almería,Almería,Arquitectónica
2002,Chalet Villa Alicia,01040130091,Almería,Almería,Arquitectónica
10283,Hotel Costasol,01040130093,Almería,Almería,Arquitectónica
2003,Gran Hotel Almería,01040130094,Almería,Almería,Arquitectónica
10284,Universidad Laboral,01040130095,Almería,Almería,Arquitectónica
2004,Fábrica de accesorios de autos Arcosa y viviendas,01040130096,Almería,Almería,Arquitectónica
21123,Quioscos,01040130097,Almería,Almería,Arquitectónica
20450,Sede de la Policía Local,01040130098,Almería,Almería,Arquitectónica
1997,Casas y casetas de baño,01040130099,Almería,Almería,Arquitectónica
20740,Instituto de Aclimatación del C.S.I.C.,01040130100,,,Arquitectónica
1998,Grupo Escolar Juan Ramón Jiménez,01040130102,Almería,Almería,Arquitectónica
10242,Salinas de Cabo de Gata,01040130112,Almería,Almería,"Arquitectónica, Etnológica"
172422,Complejo Ladrillero,01040130122,Almería,Almería,Etnológica
1992,Cementerio de San José y Santa Adela,01040130141,,,Arquitectónica
10264,Antiguo Liceo,01040130142,Almería,Almería,Arquitectónica
10266,Fachada del Monumento a García Lorca,01040130144,Almería,Almería,Arquitectónica
305,Alcazaba,01040130146,,,"Arqueológica, Arquitectónica"
1993,Aljibe del Cortijo de La Hoya Altica,01040130147,Almería,Almería,Etnológica
187433,Molina del Cortijo de San Antonio,01040130148,Almería,Almería,Etnológica
10267,Aljibe de la almadraba de Monteleva,01040130149,Almería,Almería,"Arquitectónica, Etnológica"
1995,Pozo de Torre García,01040130150,Almería,Almería,Etnológica
19337,Chimenea de la fundición Heredia de Pescadería,01040130151,Almería,Almería,"Arquitectónica, Etnológica"
19338,Torre de los Perdigones,01040130152,Almería,Almería,Etnológica
19013,Iglesia de San Juan Evangelista,01040130154,Almería,Almería,Arquitectónica
19914,Antiguo Convento de Santo Domingo,01040130155,Almería,Almería,Arquitectónica
19922,Muralla urbana,01040130156,Almería,Almería,"Arqueológica, Arquitectónica"
20700,Cortijo Fischer,01040130158,Almería,Almería,Arquitectónica
20727,Escaparates comerciales clasicistas,01040130176,Almería,Almería,Arquitectónica
21489,Edificio de viviendas Casa de las Mariposas,01040130181,Almería,Almería,Arquitectónica
21490,Edificio de viviendas,01040130183,Almería,Almería,Arquitectónica
21491,Antigua Casa de Socorro,01040130188,Almería,Almería,Arquitectónica
171194,Cortijo Romero,01040130189,,,"Arquitectónica, Etnológica"
21494,Bunkers de la Guerra Civil española,01040130191,Almería,Almería,Arquitectónica
21496,Subdelegación del Gobierno,01040130192,Almería,Almería,Arquitectónica
21497,Edificio de viviendas de Ramón Zapata,01040130194,Almería,Almería,Arquitectónica
21498,Barriada de Regiones Devastadas,01040130195,Almería,Almería,Arquitectónica
20732,Delegación de la AEAT,01040130196,Almería,Almería,Arquitectónica
21499,Portada del Estadio de la Juventud,01040130197,Almería,Almería,Arquitectónica
21500,Edificio de viviendas,01040130200,Almería,Almería,Arquitectónica
20738,Oficinas centrales de Cajamar,01040130203,Almería,Almería,Arquitectónica
21503,Conservatorio de Música,01040130204,Almería,Almería,Arquitectónica
21504,Auditorio Maestro Padilla,01040130205,Almería,Almería,Arquitectónica
21505,Edificio de viviendas Cuevas del Pecho,01040130206,Almería,Almería,Arquitectónica
21506,Oficinas en el Polígono La Celulosa,01040130207,Almería,Almería,Arquitectónica
21507,Urbanización de la Rambla,01040130208,Almería,Almería,Arquitectónica
20744,Centro de Salud Cruz de Caravaca,01040130209,Almería,Almería,Arquitectónica
21508,Registro de la Propiedad,01040130210,Almería,Almería,Arquitectónica
21509,Edificio Científico-Tecnológico,01040130212,Almería,Almería,Arquitectónica
20709,Casa Montoya,01040130217,Almería,Almería,Arquitectónica
20710,Edificio de Viviendas de Guillermo Langle,01040130218,Almería,Almería,Arquitectónica
20735,Edificio de viviendas en la Chanca,01040130219,Almería,Almería,Arquitectónica
21185,Biblioteca Pública Provincial de Almería Francisco Villaespesa,01040130220,Almería,Almería,Arquitectónica
23041,Cortijo Noria de San Antonio,01040130223,Almería,Almería,"Arquitectónica, Etnológica"
21470,Casa de la Peña,01040130224,Almería,Almería,Arquitectónica
170802,Cortijo Berenguel,01040130225,,,"Arquitectónica, Etnológica"
22993,Cortijo Córdoba,01040130226,Almería,Almería,"Arquitectónica, Etnológica"
171108,Cortijo el Pino,01040130227,,,"Arquitectónica, Etnológica"
23008,Cortijo Fuente de la Higuera,01040130228,Almería,Almería,"Arquitectónica, Etnológica"
23009,Cortijo Góngora,01040130229,Almería,Almería,"Arquitectónica, Etnológica"
23018,Cortijo Las Palmeras,01040130230,,,"Arquitectónica, Etnológica"
23024,Cortijo Los Trancos,01040130231,Almería,Almería,"Arquitectónica, Etnológica"
23026,Cortijo Marín de Burgos,01040130232,Almería,Almería,"Arquitectónica, Etnológica"
171215,Cortijo Torre Marcelo,01040130233,,,"Arquitectónica, Etnológica"
171232,Cortijo Venta Martínez,01040130234,,,"Arquitectónica, Etnológica"
19669,Iglesia de San Pío X,01040130235,Almería,Almería,Arquitectónica
28168,Espacio Subacuático Guardas Viejas-Punta de los Baños,01040130237,Almería,Almería,Sin Caracterización
190201,Silo de la Compañía Andaluza de Minas,01040130277,Almería,Almería,Arquitectónica
261028,Edificio Central de la Universidad,01040130278,,,Arquitectónica
277941,Aulario I,01040130279,,,Arquitectónica
277943,Auditorio Universitario,01040130280,,,Arquitectónica
277940,Aulario II,01040130281,,,Arquitectónica
326611,Aulario III,01040130282,,,Arquitectónica
258222,Aulario IV,01040130283,,,Arquitectónica
277939,Escuela Politécnica Superior,01040130284,,,Arquitectónica
277942,Edificio Departamental de Humanidades y Ciencias de la Educación I,01040130285,,,Arquitectónica
278515,Edificio Departamental de Ciencias Jurídicas,01040130286,,,Arquitectónica
269920,Edificio Departamental de Humanidades y Ciencias de la Educación II,01040130287,,,Arquitectónica
277947,Edificio Departamental de Ciencias Económicas y Empresariales,01040130288,,,Arquitectónica
317046,Edificio Científico-Técnico I (Químicas),01040130289,,,Arquitectónica
277950,Edificio Científico-Técnico III (Matemáticas e Informática),01040130290,,,Arquitectónica
261360,Edificio Científico-Técnico II-A,01040130291,,,Arquitectónica
261362,Edificio Científico-Técnico II-B,01040130292,,,Arquitectónica
258223,Biblioteca Universitaria Nicolás Salmerón,01040130293,,,Arquitectónica
277946,Centro de Atención al Estudiante,01040130295,,,Arquitectónica
277944,Pabellón Polideportivo Universitario,01040130296,,,Arquitectónica
277948,Comedor Universitario,01040130297,,,Arquitectónica
261359,Edificio Tecnológico de Investigación y Aplicaciones de Energía Solar,01040130298,,,Arquitectónica
261358,Centro deportivo-Piscina cubierta universitaria,01040130299,,,Arquitectónica
279466,Instalaciones Deportivas Universitarias al aire libre,01040130300,,,Arquitectónica
261361,Guardería Universitaria,01040130302,,,Arquitectónica
261364,Edificio Universitario CITE IV,01040130304,,,Arquitectónica
261365,Edificio Universitario CITIC,01040130305,,,Arquitectónica
254702,Edificio de Gobierno y Paraninfo,01040130306,,,Arquitectónica
261363,Edificio Ciencias de la Salud,01040130307,,,Arquitectónica
277945,Pabellón de Neurociencia,01040130308,,,Arquitectónica
269921,Edificio Científico-Técnico B-8,01040130309,,,Arquitectónica
183618,Cortjo de Los Arcos,01040130310,Almería,Almería,"Arquitectónica, Etnológica"
183678,Cantera de la Hoya,01040130314,Almería,Almería,"Arqueológica, Etnológica"
183721,Canteras de la Acequia,01040130316,Almería,Almería,"Arqueológica, Etnológica"
183727,Canteras y Cantera-cueva ladera sur Loma de San Cristóbal,01040130317,Almería,Almería,"Arqueológica, Etnológica"
183742,Canteras y Cantera-cueva ladera norte Loma de San Cristóbal,01040130318,Almería,Almería,"Arqueológica, Etnológica"
183745,Canteras Quemadero Oeste,01040130319,Almería,Almería,"Arqueológica, Etnológica"
183751,Cantera Quemadero Este,01040130320,Almería,Almería,"Arqueológica, Etnológica"
183764,Cantera del Ingenio y Cantera-cueva del  taller mecánico,01040130321,Almería,Almería,"Arqueológica, Etnológica"
183765,Cantera Cortijo Góngora,01040130322,Almería,Almería,"Arqueológica, Etnológica"
183777,Canteras y Canteras-cueva del Polvorín y de la Columna,01040130323,Almería,Almería,"Arqueológica, Etnológica"
183839,Cantera Cortijo Baeza,01040130327,Almería,Almería,"Arqueológica, Etnológica"
183850,Canteras de San Roque,01040130331,Almería,Almería,"Arqueológica, Etnológica"
183854,Canteras de San Roque Norte y Cantera-cueva del Covarrón,01040130334,Almería,Almería,"Arqueológica, Etnológica"
183869,Cantera y Canteras-cueva del Tesoro y de las Cuatro Cuevas,01040130336,Almería,Almería,"Arqueológica, Etnológica"
183870,Cantera de las Trincheras ladera sur,01040130337,Almería,Almería,"Arqueológica, Etnológica"
183871,Cantera de las Trincheras ladera norte,01040130338,Almería,Almería,"Arqueológica, Etnológica"
183885,Cantera Cortijo Cucarro,01040130339,Almería,Almería,"Arqueológica, Etnológica"
183920,Parque Nicolás Salmerón,01040130340,,,Arquitectónica
190202,Iglesia San Miguel de las Salinas,01040130346,Almería,"Almería, Níjar",Arquitectónica
188078,Puente de la fábrica de Hormigones,01040130386,Almería,Almería,Etnológica
188079,Puente del barranco Idáñez,01040130387,Almería,Almería,Etnológica
